Months,From,To,HighTemp,LowTemp,Off-Peak,Mid-Peak,On-Peak
Jan,1/1/2019,2/1/2019,-2,-11,467.16,115.4,173.27
Feb,2/1/2019,3/1/2019,0,-8,418.31,65.45,117.6
Mar,3/1/2019,4/1/2019,3,-5,398.29,98.39,142.84
Apr,4/1/2019,5/1/2019,11,2,290.33,56.66,114.47
May,5/1/2019,6/1/2019,17,7,231.61,44.8,83.18
Jun,6/1/2019,7/1/2019,23,13,192.71,51.52,79.49
Jul,7/1/2019,8/1/2019,29,18,206.15,53.33,87.32
Aug,8/1/2019,9/1/2019,26,16,170.59,46.46,56.57
Sep,9/1/2019,10/1/2019,22,13,343.5,64.15,108.54
Oct,10/1/2019,11/1/2019,15,6,321.72,70.58,154.36
Nov,11/1/2019,12/1/2019,5,-3,342.74,80.87,120.68
Dec,12/1/2019,1/1/2020,3,-4,453.68,116.76,157.44
